category,core25,reference58
financial_growth_change,1,1
financial_quality,0,1
liquidity,4,4
momentum_reversal,1,3
price_structure,2,16
price_volume,9,17
technical_state,1,3
trend_quality,2,5
value,2,2
volatility_risk,3,6
