number,value,params_bagging_fraction,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,user_attrs_best_iterations,user_attrs_fold_rank_ic,user_attrs_mean_rank_ic,user_attrs_std_rank_ic,user_attrs_worst_rank_ic,state
13,0.011007691552058323,0.9938155133970547,0.7805810496075675,0.0033860558349043945,0.2988177103460086,0.010580724783716165,7,139,77,"[635, 99, 1]","[0.12560200253887993, -0.001274787712389706, -0.0015066230219552587]",0.040940197268178324,0.05986501143224,-0.0015066230219552587,COMPLETE
14,0.011433716635123933,0.8479147294476241,0.7807094890326666,0.00011990627027317873,0.36042896911813,0.014030003860673358,8,198,104,"[695, 72, 1]","[0.12512866009336862, -4.1637381186588006e-05, -0.001688974106341676]",0.04113268286861345,0.05939793246697903,-0.001688974106341676,COMPLETE
15,0.010832249421389401,0.9877079408194871,0.8603949130823448,0.015324972156419122,0.03577146989146456,0.008741844063059495,7,88,58,"[601, 99, 1]","[0.12612255344502746, -0.0019146864661848443, -0.0013678377164024797]",0.04094667642081338,0.060228853998847955,-0.0019146864661848443,COMPLETE
16,0.007205329288734387,0.8977546805417795,0.7292605277911731,0.0007071400744493274,2.5299100156831464,0.013487574394807904,7,437,49,"[525, 131, 1]","[0.12781898923793383, 0.0009011824147782702, -0.012333427953159615]",0.03879558123318416,0.06318050388889955,-0.012333427953159615,COMPLETE
17,0.0123101997811637,0.8133403248340305,0.8158839545370073,0.0007668142848125778,1.7505191711935855,0.008057363155940606,8,177,100,"[734, 99, 1]","[0.12590348551499952, 2.861947218544131e-05, 1.1514022276158896e-05]",0.04198120633648705,0.05934201311064669,1.1514022276158896e-05,COMPLETE
18,0.009531849062745283,0.9506978663806893,0.8916884168434768,0.04136175915472914,0.049566602346714755,0.022101101672530304,8,89,122,"[195, 216, 1]","[0.12413295572756677, -0.004376839736100277, -0.0013436180910674606]",0.039470832633466346,0.059877967141442126,-0.004376839736100277,COMPLETE
19,0.01011369118465251,0.9557295305868596,0.7462084232261686,0.00010997361921486967,34.21631031643396,0.013211674925696396,7,268,77,"[327, 288, 1]","[0.12634027366323455, -0.0011319431911876287, -0.003780090118182652]",0.04047608011795476,0.060724777866604504,-0.003780090118182652,COMPLETE
20,0.005757150744097571,0.7992820098127085,0.9169271168538525,0.0021635180833232182,0.8795520689652049,0.007691213646336585,6,375,50,"[978, 64, 1]","[0.12946323954868852, -0.004935849970923011, -0.010277637394587043]",0.03808325072772615,0.06465219996725716,-0.010277637394587043,COMPLETE
21,0.014606454916622005,0.92218244544107,0.6796177104534852,0.020636758937764083,0.01610339514189335,0.0056209430061414725,8,50,36,"[807, 156, 1]","[0.12799176188067946, 0.000960783985212807, 0.00372880859813217]",0.04422711815467482,0.059241326476105624,0.000960783985212807,COMPLETE
22,0.014379333240679311,0.9140718469725375,0.6706260038220243,0.03737549068403495,0.01799978141973435,0.005135597348537495,8,72,39,"[823, 156, 1]","[0.1275512120289455, 0.001289699572162287, 0.0029843738737879402]",0.04394176182496525,0.05912485716857188,0.001289699572162287,COMPLETE
23,0.013304108369298417,0.8970473003659729,0.6816263767772786,0.08274538742841787,0.011398040876012688,0.005036422189082339,7,71,43,"[1000, 154, 1]","[0.1289120515569582, 0.0005546697868734224, 0.0010376887265998627]",0.04350147002347717,0.06039472330835751,0.0005546697868734224,COMPLETE
24,0.014791797338973598,0.9224062317917782,0.6676304613057433,0.14272460504591275,0.006056105397661289,0.00627824071704772,8,51,37,"[816, 131, 1]","[0.12790419210785417, 0.0016497030301212971, 0.0034628219267929753]",0.04433890568825615,0.05909421669856511,0.0016497030301212971,COMPLETE
25,0.009586021505909023,0.6078060138065813,0.6091497488421054,0.23648817831521088,0.004810915488745491,0.006682176486324758,7,50,33,"[998, 156, 1]","[0.13109521300431276, 0.004823585910182717, -0.011554963655663953]",0.04145461175294384,0.06373718049406964,-0.011554963655663953,COMPLETE
26,0.015966141107054087,0.8781470374878265,0.6941792949623297,1.8095803060027107,8.21429768441782,0.006525326885952654,8,103,84,"[687, 156, 1]","[0.12790028628526476, 0.0036940905392700853, 0.004017108664878571]",0.045203828496471136,0.0584753747788341,0.0036940905392700853,COMPLETE
27,0.007842096880998038,0.8702060411737449,0.6511834094975163,95.61999208026268,13.225317295301227,0.006977683319658279,7,98,90,"[1000, 131, 1]","[0.12726950285525104, -0.000706164312844599, -0.009341996390563883]",0.039073780717280855,0.062463367672565634,-0.009341996390563883,COMPLETE
28,0.009978291286320305,0.8013217632243297,0.8122622733458627,1.2869031833629336,88.28074361990126,0.007827804157353452,8,175,87,"[973, 99, 1]","[0.12850134127179186, 0.001626692170811303, -0.007200938834228398]",0.04097569820279159,0.061994813832942565,-0.007200938834228398,COMPLETE
29,0.014342649418135647,0.9585874982512465,0.708608975587147,0.1080080393455588,9.872331573729037,0.012459949791241187,6,101,27,"[513, 336, 1]","[0.12912102882120038, 0.0024448387092055102, 0.0014054170816878392]",0.04432376153736458,0.059962224238457866,0.0014054170816878392,COMPLETE
